City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
19,La Primavera,CO,78.58,moderate rain,5.4906,-70.4092,La Riviera Hotel Colonial
22,Damghan,IR,88.72,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
33,Batalha,BR,80.58,scattered clouds,-9.6778,-37.1247,Pousada Solar do Sertão
34,Kota Kinabalu,MY,78.78,light rain,5.9749,116.0724,Gaya Centre Hotel
35,Salinopolis,BR,82.72,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
38,Atuona,PF,78.17,broken clouds,-9.8,-139.0333,Villa Enata
41,Kavieng,PG,82.53,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
44,Touros,BR,82.44,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
45,Faanui,PF,77.2,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Dwarka,IN,82.18,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
63,Swan River,CA,76.89,clear sky,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
64,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Elliot Lake,CA,82.62,clear sky,46.3834,-82.6331,Paris Plaza
69,Bandarbeyla,SO,78.49,overcast clouds,9.4942,50.8122,JABIR HOTEL
72,Victoria,HK,87.33,light rain,22.2855,114.1577,Mini Central
74,Nara,JP,79.92,light rain,34.6851,135.8049,Guesthouse Nara Komachi
76,Manggar,ID,82.0,broken clouds,-2.8833,108.2667,Guest Hotel
79,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
86,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
91,Tateyama,JP,79.11,light rain,34.9833,139.8667,Tateyama Seaside Hotel
92,Guerrero Negro,MX,77.9,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
95,Acarau,BR,85.77,few clouds,-2.8856,-40.12,castelo pizzaria
97,Gillette,US,88.11,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
99,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
105,Dingle,PH,75.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
106,West Wendover,US,81.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
107,Forbesganj,IN,87.06,overcast clouds,26.3,87.25,होटल
108,Bengkulu,ID,76.59,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
112,Mazamari,PE,79.11,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
115,Mahibadhoo,MV,82.6,overcast clouds,3.7833,72.9667,Omadhoo Inn
118,Martinsburg,US,88.41,overcast clouds,39.4562,-77.9639,"Holiday Inn Martinsburg, an IHG Hotel"
120,Katsuura,JP,78.78,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
124,Phalodi,IN,89.92,moderate rain,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
126,Tura,IN,75.4,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
129,Kikwit,CD,81.61,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
130,Kui Buri,TH,80.65,broken clouds,12.0828,99.8543,Rista House & Resort
132,Serpa,PT,87.76,clear sky,37.9458,-7.5975,Casa do Caniço
135,Srandakan,ID,75.97,broken clouds,-7.9386,110.2506,Puri Brata
137,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
138,Vieira De Leiria,PT,84.85,few clouds,39.8695,-8.9324,Hotel Cristal Vieira Praia & SPA
139,Iracoubo,GF,82.65,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
143,Hithadhoo,MV,82.76,light rain,-0.6,73.0833,Scoop Guest House
145,Sao Filipe,CV,75.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
149,Rafsanjan,IR,88.43,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
151,Palu,ID,75.78,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
153,Carutapera,BR,83.97,few clouds,-1.195,-46.02,Lidera
154,Korla,CN,84.94,clear sky,41.7597,86.1469,Gulisitan Hotel
155,Torbay,CA,79.88,scattered clouds,47.6666,-52.7314,Gallows Cove
160,Mastic Beach,US,80.8,mist,40.7668,-72.8521,Brushwood House by Smith Point Beach
173,Mering,DE,85.71,broken clouds,48.2656,10.9846,Fritz Kühner Hotel- und Gastronomieberatung GmbH
