City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,27.63,scattered clouds
1,Castro,BR,-24.7911,-50.0119,58.03,96,100,5.03,light rain
2,Ginir,ET,7.1333,40.7,59.23,74,79,8.1,broken clouds
3,Pangnirtung,CA,66.1451,-65.7125,42.8,87,75,13.8,broken clouds
4,Kodiak,US,57.79,-152.4072,56.71,72,20,6.91,few clouds
5,Mataura,NZ,-46.1927,168.8643,44.47,98,100,3.44,light rain
6,Kaitangata,NZ,-46.2817,169.8464,44.49,95,100,0.81,moderate rain
7,Vardo,NO,70.3705,31.1107,58.98,77,0,8.05,clear sky
8,Naze,JP,28.3667,129.4833,79.72,88,100,17.72,overcast clouds
9,Amboise,FR,47.4125,0.9827,102.15,11,1,16.08,clear sky
10,Bikin,RU,46.8161,134.26,63.18,98,68,0.89,broken clouds
11,Talnakh,RU,69.4865,88.3972,63.21,59,94,2.06,overcast clouds
12,Hobart,AU,-42.8794,147.3294,42.66,86,100,9.22,overcast clouds
13,Mehamn,NO,71.0357,27.8492,62.51,77,20,5.75,few clouds
14,Ishinomaki,JP,38.4167,141.3,72.77,87,98,4.43,moderate rain
15,Port Alfred,ZA,-33.5906,26.891,67.84,56,4,9.84,clear sky
16,Busselton,AU,-33.65,115.3333,51.4,89,28,9.1,scattered clouds
17,Doha,QA,25.2867,51.5333,104.31,52,4,6.91,clear sky
18,Vaini,TO,-21.2,-175.2,73.56,88,40,11.5,scattered clouds
19,La Primavera,CO,5.4906,-70.4092,78.58,83,99,4.97,moderate rain
20,Rikitea,PF,-23.1203,-134.9692,74.16,79,97,12.15,light rain
21,Kaeo,NZ,-35.1,173.7833,56.32,96,71,9.71,broken clouds
22,Damghan,IR,36.1683,54.348,88.72,13,0,7.61,clear sky
23,Hervey Bay,AU,-25.2986,152.8535,57.02,94,54,5.99,broken clouds
24,Bredasdorp,ZA,-34.5322,20.0403,54.72,82,93,3.98,overcast clouds
25,Port Lincoln,AU,-34.7333,135.8667,53.01,58,100,11.21,overcast clouds
26,Cherskiy,RU,68.75,161.3,44.51,53,41,7.14,scattered clouds
27,Qaanaaq,GL,77.484,-69.3632,44.64,57,63,2.46,broken clouds
28,Humaita,BR,-7.5061,-63.0208,96.57,31,58,3.76,broken clouds
29,Ushuaia,AR,-54.8,-68.3,42.46,49,20,12.66,few clouds
30,Coihaique,CL,-45.5752,-72.0662,40.95,75,75,3.44,broken clouds
31,Ribeira Grande,PT,38.5167,-28.7,73.85,89,18,6.76,light rain
32,Barrow,US,71.2906,-156.7887,37.42,100,100,16.11,overcast clouds
33,Batalha,BR,-9.6778,-37.1247,80.58,67,42,12.77,scattered clouds
34,Kota Kinabalu,MY,5.9749,116.0724,78.78,89,20,3.44,light rain
35,Salinopolis,BR,-0.6136,-47.3561,82.72,74,42,14.74,scattered clouds
36,Mosquera,CO,4.7059,-74.2302,60.89,59,75,16.11,broken clouds
37,Cape Town,ZA,-33.9258,18.4232,59.11,82,75,10.36,broken clouds
38,Atuona,PF,-9.8,-139.0333,78.17,64,77,18.39,broken clouds
39,Albany,US,42.6001,-73.9662,73.81,93,100,3.0,overcast clouds
40,Omsukchan,RU,62.5333,155.8,54.57,76,57,5.61,broken clouds
41,Kavieng,PG,-2.5744,150.7967,82.53,75,100,14.61,overcast clouds
42,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,80,20,14.97,few clouds
43,Villefontaine,FR,45.6125,5.1456,97.93,26,0,6.91,clear sky
44,Touros,BR,-5.1989,-35.4608,82.44,64,41,15.97,scattered clouds
45,Faanui,PF,-16.4833,-151.75,77.2,66,30,10.51,scattered clouds
46,Upernavik,GL,72.7868,-56.1549,42.31,76,100,1.45,overcast clouds
47,Chumikan,RU,54.7183,135.315,51.82,99,100,11.43,light rain
48,Avarua,CK,-21.2078,-159.775,68.05,94,75,3.44,light rain
49,Port Hardy,CA,50.6996,-127.4199,57.38,82,75,0.0,broken clouds
50,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,75,12.66,broken clouds
51,Tasiilaq,GL,65.6145,-37.6368,48.36,80,59,4.16,broken clouds
52,Bambous Virieux,MU,-20.3428,57.7575,70.21,77,75,18.41,broken clouds
53,Jalu,LY,29.0331,21.5482,96.76,14,0,5.28,clear sky
54,Jamestown,US,42.097,-79.2353,71.24,91,100,17.27,overcast clouds
55,Dukat,RU,62.55,155.55,54.09,79,51,6.55,broken clouds
56,Bonavista,CA,48.6499,-53.1147,66.72,66,52,12.64,broken clouds
57,Revelstoke,CA,50.9832,-118.2023,66.22,63,100,5.75,overcast clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,57.09,61,0,11.5,clear sky
59,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,78,47,6.69,scattered clouds
60,Gejiu,CN,23.306,103.1635,60.37,96,100,2.06,overcast clouds
61,Dwarka,IN,22.2394,68.9678,82.18,82,93,14.81,overcast clouds
62,Aygut,AM,40.6833,45.1729,69.48,53,4,3.33,clear sky
63,Swan River,CA,52.1058,-101.2676,76.89,61,0,5.75,clear sky
64,Hilo,US,19.7297,-155.09,84.27,95,75,6.91,broken clouds
65,Chokurdakh,RU,70.6333,147.9167,38.98,85,62,9.51,broken clouds
66,New Norfolk,AU,-42.7826,147.0587,42.3,83,64,3.0,broken clouds
67,Elliot Lake,CA,46.3834,-82.6331,82.62,40,0,6.6,clear sky
68,Norman Wells,CA,65.282,-126.8329,64.44,68,75,2.3,broken clouds
69,Bandarbeyla,SO,9.4942,50.8122,78.49,72,85,36.33,overcast clouds
70,Yatou,CN,37.15,122.3833,70.68,81,50,5.79,scattered clouds
71,Bluff,NZ,-46.6,168.3333,44.8,82,100,8.63,overcast clouds
72,Victoria,HK,22.2855,114.1577,87.33,83,100,10.0,light rain
73,Nikolskoye,RU,59.7035,30.7861,62.49,68,57,5.57,broken clouds
74,Nara,JP,34.6851,135.8049,79.92,81,100,2.46,light rain
75,Vostok,RU,46.4856,135.8833,57.29,97,91,3.0,overcast clouds
76,Manggar,ID,-2.8833,108.2667,82.0,79,67,10.92,broken clouds
77,Yellowknife,CA,62.456,-114.3525,68.56,64,20,6.91,few clouds
78,Ambovombe,MG,-25.1667,46.0833,66.69,78,70,18.7,broken clouds
79,Georgetown,MY,5.4112,100.3354,84.88,90,20,2.3,few clouds
80,Batamshinskiy,KZ,50.5594,58.2747,79.97,40,31,14.79,scattered clouds
81,Okhotsk,RU,59.3833,143.3,54.32,94,100,4.12,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,79,18.39,light rain
83,Biak,ID,-0.9131,122.8766,73.33,90,100,6.42,overcast clouds
84,Boden,SE,65.8252,21.6886,59.0,70,93,6.17,overcast clouds
85,Cidreira,BR,-30.1811,-50.2056,61.2,75,1,11.25,clear sky
86,Kapaa,US,22.0752,-159.319,79.12,86,75,13.8,broken clouds
87,Labuan,MY,5.2767,115.2417,82.76,83,20,3.44,few clouds
88,Bonfim,BR,3.0833,-59.95,87.55,59,71,6.2,broken clouds
89,Thompson,CA,55.7435,-97.8558,59.16,88,100,3.44,overcast clouds
90,Ende,ID,-8.8432,121.6623,72.75,86,24,2.13,few clouds
91,Tateyama,JP,34.9833,139.8667,79.11,85,100,24.07,light rain
92,Guerrero Negro,MX,27.9769,-114.0611,77.9,54,7,9.06,clear sky
93,Baykit,RU,61.67,96.37,56.05,97,100,3.04,light rain
94,Dikson,RU,73.5069,80.5464,46.04,73,0,12.21,clear sky
95,Acarau,BR,-2.8856,-40.12,85.77,56,14,17.87,few clouds
96,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,94,100,10.36,light rain
97,Gillette,US,44.2911,-105.5022,88.11,27,0,10.36,clear sky
98,San Rafael,AR,-34.6177,-68.3301,47.98,34,32,4.32,scattered clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,76.96,95,96,5.01,overcast clouds
100,Hermanus,ZA,-34.4187,19.2345,55.8,84,99,5.86,overcast clouds
101,Luebo,CD,-5.35,21.4167,82.33,36,29,2.48,scattered clouds
102,Khatanga,RU,71.9667,102.5,54.07,79,100,5.84,overcast clouds
103,Mahebourg,MU,-20.4081,57.7,70.25,77,75,18.41,broken clouds
104,Klaksvik,FO,62.2266,-6.589,56.32,89,87,3.22,overcast clouds
105,Dingle,PH,10.9995,122.6711,75.36,94,100,2.71,overcast clouds
106,West Wendover,US,40.7391,-114.0733,81.61,39,0,6.91,clear sky
107,Forbesganj,IN,26.3,87.25,87.06,67,100,7.76,overcast clouds
108,Bengkulu,ID,-3.8004,102.2655,76.59,89,3,5.08,clear sky
109,Pevek,RU,69.7008,170.3133,32.38,80,100,5.19,overcast clouds
110,Saint Anthony,US,45.0205,-93.218,92.25,54,0,11.5,clear sky
111,Sitka,US,57.0531,-135.33,55.29,88,100,4.61,overcast clouds
112,Mazamari,PE,-11.3258,-74.5308,79.11,69,99,2.84,overcast clouds
113,Saskylakh,RU,71.9167,114.0833,47.43,79,100,11.18,overcast clouds
114,Poya,NC,-21.35,165.15,71.42,91,99,5.57,light rain
115,Mahibadhoo,MV,3.7833,72.9667,82.6,77,100,13.44,overcast clouds
116,Amga,RU,60.8953,131.9608,68.36,66,62,4.9,broken clouds
117,Amapa,BR,1.0,-52.0,83.7,71,44,4.94,scattered clouds
118,Martinsburg,US,39.4562,-77.9639,88.41,76,100,6.89,overcast clouds
119,Terbuny,RU,52.1389,38.2789,58.46,83,95,11.99,overcast clouds
120,Katsuura,JP,35.1333,140.3,78.78,84,100,21.21,overcast clouds
121,Waipawa,NZ,-41.4122,175.5153,52.41,69,100,14.29,overcast clouds
122,Kaili,ID,-3.4626,120.2147,65.46,93,100,2.35,overcast clouds
123,Verkhnevilyuysk,RU,63.4453,120.3167,58.95,96,95,4.99,overcast clouds
124,Phalodi,IN,27.1333,72.3667,89.92,62,73,4.38,moderate rain
125,Nassjo,SE,57.6531,14.6968,68.92,49,99,10.71,overcast clouds
126,Tura,IN,25.5198,90.2201,75.4,93,97,4.63,overcast clouds
127,Hailar,CN,49.2,119.7,63.09,88,97,5.21,overcast clouds
128,Maniitsoq,GL,65.4167,-52.9,44.94,88,99,3.24,overcast clouds
129,Kikwit,CD,-5.041,18.8162,81.61,53,86,5.73,overcast clouds
130,Kui Buri,TH,12.0828,99.8543,80.65,78,56,8.03,broken clouds
131,Loukhi,RU,66.0764,33.0381,60.91,75,83,5.61,light rain
132,Serpa,PT,37.9458,-7.5975,87.76,22,0,20.13,clear sky
133,Coffs Harbour,AU,-30.3,153.1333,57.16,58,100,12.66,overcast clouds
134,Vawkavysk,BY,53.1561,24.4513,59.74,92,100,7.47,overcast clouds
135,Srandakan,ID,-7.9386,110.2506,75.97,87,64,8.1,broken clouds
136,Bowen,AU,-20.0167,148.2333,60.31,88,0,7.83,clear sky
137,The Valley,AI,18.217,-63.0578,86.14,66,40,18.41,scattered clouds
138,Vieira De Leiria,PT,39.8695,-8.9324,84.85,58,20,17.27,few clouds
139,Iracoubo,GF,5.4802,-53.2011,82.65,74,56,7.05,broken clouds
140,Bandar,ID,2.05,99.75,75.0,97,97,2.86,overcast clouds
141,Srednekolymsk,RU,67.45,153.6833,53.78,57,97,5.61,overcast clouds
142,Pisco,PE,-13.7,-76.2167,62.65,77,13,8.05,haze
143,Hithadhoo,MV,-0.6,73.0833,82.76,75,100,12.3,light rain
144,Lavrentiya,RU,65.5833,-171.0,37.44,78,96,15.61,overcast clouds
145,Sao Filipe,CV,14.8961,-24.4956,75.38,78,86,16.91,overcast clouds
146,Port Macquarie,AU,-31.4333,152.9167,48.88,75,36,10.13,scattered clouds
147,Ekhabi,RU,53.5102,142.9671,52.43,95,85,12.35,overcast clouds
148,Ilulissat,GL,69.2167,-51.1,46.42,87,40,8.05,scattered clouds
149,Rafsanjan,IR,30.4067,55.9939,88.43,8,0,14.88,clear sky
150,Skibotn,NO,69.3913,20.2679,53.33,85,100,6.62,overcast clouds
151,Palu,ID,-0.8917,119.8707,75.78,85,100,2.46,overcast clouds
152,Savonlinna,FI,61.8699,28.88,62.65,63,20,4.61,few clouds
153,Carutapera,BR,-1.195,-46.02,83.97,68,18,11.54,few clouds
154,Korla,CN,41.7597,86.1469,84.94,15,3,5.84,clear sky
155,Torbay,CA,47.6666,-52.7314,79.88,54,40,18.41,scattered clouds
156,Pervomayskoye,RU,43.919,46.7102,88.57,30,39,7.38,scattered clouds
157,Chuy,UY,-33.6971,-53.4616,55.38,59,16,8.68,few clouds
158,Longyearbyen,SJ,78.2186,15.6401,53.44,62,20,14.97,few clouds
159,Severo-Kurilsk,RU,50.6789,156.125,51.84,96,49,4.76,scattered clouds
160,Mastic Beach,US,40.7668,-72.8521,80.8,94,100,13.0,mist
161,Paita,PE,-5.0892,-81.1144,69.24,69,98,10.89,overcast clouds
162,Merauke,ID,-8.4667,140.3333,75.22,91,91,12.55,overcast clouds
163,Guane,CU,22.2025,-84.0875,90.19,54,2,9.89,clear sky
164,Airai,TL,-8.9266,125.4092,52.27,77,100,2.21,overcast clouds
165,Tartagal,AR,-22.5164,-63.8013,69.22,32,53,5.01,broken clouds
166,Tahe,CN,52.3333,124.7333,61.07,94,19,2.64,few clouds
167,Port Elizabeth,ZA,-33.918,25.5701,64.31,90,75,3.44,broken clouds
168,Vrangel,RU,42.7297,133.0839,64.74,85,98,5.84,overcast clouds
169,Carnarvon,AU,-24.8667,113.6333,64.83,65,0,13.22,clear sky
